bought,"YAMAHA MSP5 STUDIO","パワードモニタースピーカー","バイアンプ構成のプログレード2ウェイレコーディングモニター",https://jp.yamaha.com/products/proaudio/speakers/msp_studio_series/index.html
bought,"MACKIE MIX 8","コンパクト アナログミキサー","実績のあるハイヘッドルーム、低ノイズを実現した8チャンネルコンパクトミキサー",https://mackie-jp.com/mixers/mix/
bought,"audio-technica AT-X11","ダイナミックマイク ×2","おしゃれなボーカルマイク、プロテクトリング付き。",https://www.audio-technica.co.jp/product/AT-X11
gift,"audio-technica AT-PL300","ステレオターンテーブルシステム","レコードを聴くという生活を当たり前にするかんたんフルオート再生プレーヤー。",https://www.audio-technica.co.jp/product/AT-PL300
bought,"FiiO BTA30 Pro","Bluetoothレシーバー＆トランスミッター","無線と有線を自在に変換する「超」メディアHUB。これ1台で全てが完結する",https://www.fiio.jp/products/bta30-pro/
bought,"ZOOM U-44","USBオーディオ・インターフェース","スタジオクラスの高音質をコンパクトボディに凝縮した、ポータブルでハンディな4イン／4アウト仕様のUSBオーディオ・インターフェース",https://zoomcorp.com/ja/jp/audio-interface/audio-interfaces/u-44/
bought,"ZOOM H3-VR","VRオーディオマイク","さぁ、音のＶＲをはじめよう。",https://zoomcorp.com/ja/jp/handheld-recorders/handheld-recorders/h3-vr-360-audio-recorder/
bought,"TASCAM 202 MKV","カセットデッキ","録音/再生メカを2台搭載した、ダブルオートリバースカセットデッキ",https://tascam.com/jp/product/202mkv/top
