bought,"OKI C824dn","カラーLEDプリンター","世界最小ながらコストパフォーマンスにも優れたスタンダードモデル | モノクロ約5円/カラー約25円",
bought,"DS-858A3","裁断機","対応サイズはB7〜A3サイズ／500枚相当まで断裁可能",
bought,"P5GCX","パーソナルシュレッダー","Ａ４コピー用紙最大５枚カット | 約4×40mmのクロスカット採用",
bought,"とじ太くん","製本機","卓上製本機のベストセラー | A5タテ〜A3ヨコサイズ／300枚相当まで製本可能",
bought,"brother QL-800","感熱ラベルプリンター","宛名ラベル・バーコードラベル印刷に最適な62mm幅対応の感熱ラベルプリンター",
bought,"Selpic S1","ハンディプリンター","プリンターを動かすだけで、紙、テキスタイル、木材、ガラス、セラミックなど、文字通りあらゆる表面に印刷できます。",
bought,"TシャツくんJr","スクリーン製版機","シルクスクリーンプリントのスターターセット | 最大約12cm角デザインの製版が可能",
