create,"ウェブサイト制作・運営","ホスティングサービス","ウェブサイト制作・運営のサポート(詳しい詳細は準備出来次第お知らせします)",none
create,"作業台","Work Desk","天板サイズ184×92cm・高さ70cm",none
create,"工具類","消耗品","電動ドライバー・ノコギリ・トンカチ・単管カッター／ビス・クギなど（使用料：自由料金制）",none
create,"真空パック機","バキュームシーラー","使用料：専用袋1枚200円〜",none
create,"ABOX OL341","パウチラミネーター","A3/A4対応(使用料：1枚50円〜)",none
shopping,"New Life Collection","ウェブショップ","ウェブショップ兼ニュースメディア「newlifecollection.com」で売りたいものを売る／会員限定商品販売・一部商品を限定価格で販売(詳しい詳細は準備出来次第お知らせします)",https://newlifecollection.com/
broadcast,"GoPro HERO7 Black","アクティブカメラ","スマートフォンから遠隔操作・PCの外部カメラとしても使用できます。",https://www.tajima-motor.com/gopro/product/hero7black/
broadcast,"LG 360 CAM","360度全天球カメラ","スマートフォンから遠隔操作・Google ストリートビューへの投稿が可能です。（YouTubeなどに投稿する動画制作は有料です。）",https://www.lg.com/us/mobile-accessories/lg-LGR105AVRZTS-360-cam
broadcast,"audio-technica AT9913iS","スマートフォン用マイク","スマートフォン用モノラルマイクロホン",https://www.audio-technica.co.jp/product/AT9913iS
broadcast,"iPod touch","第7世代 32GB","GoPro・360 CAM・Selpicなどの操作に使用",none
viewing,"I-O DATA EX-LD321DB","31.5型 ディスプレイ","広視野角ADSパネル HDMI×2 DisplayPort",none
viewing,"Intel STCK1A32WFC","スティック型パソコン","インテル® Atom™ プロセッサー Z3735F（4コア、1.33GHz） | DDR3L（1.35V、1333 MHz、2GB）| Windows 10, 32-bit* | 32GB　eMMC | IEEE802.11b/g/n、Bluetooth4.0",none
viewing,"WiMiUS S4","プロジェクター","パソコン・Blu-ray/DVDプレイヤーから映像を6×3m簡易スクリーンに投影",none
viewing,"Sony BDP-6700","Blu-ray/DVD","Blu-ray/DVDディスクの再生、YouTubeなどのスクリーニング・スマートフォン／タブレットのミラーリングも可能",https://www.sony.jp/bd-player/products/BDP-S6700/
listening,"YAMAHA MSP5 STUDIO","パワードモニタースピーカー","プロフェッショナルクオリティのフラッグシップスタジオモニター",https://jp.yamaha.com/products/proaudio/speakers/msp_studio_series/index.html
listening,"MACKIE MIX 8","アナログミキサー","実績のあるハイヘッドルーム、低ノイズを実現した5チャンネルコンパクトミキサー",https://mackie-jp.com/mixers/mix/
listening,"FiiO BTA30","Bluetooth","いい音でBluetoothを楽しむ、高品位Bluetoothオーディオシステムを実現する先進のBTレシーバー＆トランスミッター",https://www.fiio.jp/products/bta30/
listening,"GEMINI CDM-4000","DJ用CDプレーヤー","ミキサー一体型CD・USBオールインワンDJプレーヤー",https://www.soundhouse.co.jp/products/detail/item/203988/
listening,"AudioComm RCS-S940R","ラジカセ","ポータブルステレオラジオカセットレコーダー",https://www.ohm-electric.co.jp/product/c13/c1303/39059/
listening,"audio-technica AT-PL300","ステレオターンテーブルシステム","レコードを聴くという生活を当たり前にするかんたんフルオート再生プレーヤー。",https://www.audio-technica.co.jp/product/AT-PL300
listening,"audio-technica AT-X11","ダイナミックマイク ×2","おしゃれなボーカルマイク、プロテクトリング付き。",https://www.audio-technica.co.jp/product/AT-X11
listening,"ZOOM U-44","USBオーディオ・インターフェース","スタジオクラスの高音質をコンパクトボディに凝縮した、ポータブルでハンディな4イン／4アウト仕様のUSBオーディオ・インターフェース",https://zoomcorp.com/ja/jp/audio-interface/audio-interfaces/u-44/
listening,"ZOOM H3-VR","VRオーディオマイク","さぁ、音のＶＲをはじめよう。",https://zoomcorp.com/ja/jp/handheld-recorders/handheld-recorders/h3-vr-360-audio-recorder/
publication,"TシャツくんJr","スクリーン製版機","最大12cm × 12cm のスクリーン版を製版できます（利用料金：500円〜）",publication/
publication,"とじ太くん","製本機","対応サイズはA5タテ〜A3ヨコサイズ／300枚相当まで製本可能（利用料金：100円〜）",publication/
publication,"OKI C824dn","カラーLEDプリンター","使用料：モノクロ1枚5円/カラー1枚25円〜",publication/
publication,"DS-858A3","裁断機","対応サイズはB7〜A3サイズ／500枚相当まで断裁可能",publication/
publication,"brother QL-800","感熱ラベルプリンター","宛名ラベル・バーコードラベル印刷に最適な62mm幅対応の感熱ラベルプリンター",publication/
publication,"Selpic S1","ハンディプリンター","プリンターを動かすだけで、紙、テキスタイル、木材、ガラス、セラミックなど、文字通りあらゆる表面に印刷できます。",publication/
communication,"New Life Collection","エッセイ","ウェブショップ兼ニュースメディア「newlifecollection.com」にエッセイを投稿／限定記事閲覧(詳しい詳細は準備出来次第お知らせします)",none
communication,"円卓","机・椅子","直径180cmの作業・会議テーブル兼卓球台",none
communication,"GitHub","ソフトウェア開発プラットフォーム","GitHub上にソースコードをホスティングすることで数百万人もの他の開発者と一緒にコードのレビューを行ったり、プロジェクトの管理をしながら、ソフトウェアの開発を行うことができます。",https://github.co.jp/
communication,"asana","ワークマネジメントツール","プロジェクトとタスクを一元管理できる、究極のワークマネジメントツール",https://asana.com/ja?noredirect=
communication,"Trello","タスク管理ツール","タスクのあらゆる作業を管理、追跡してチームメイトと共有できる、業務管理ポータル",https://trello.com/ja
communication,"Whereby","オンライン会議サービス","URLを共有するだけで誰でも簡単に使える、ダウンロードやインストール不要なブラウザ完結型のオンライン会議サービス",https://whereby.com/
