??.??.???? ,"VG CTLG","世界中のすごいものごとを集めたカタログを制作しています。"
??.??.???? ,"VG Japan Map / VG World Map","世界中のすごいインディペンドスペースのコレクションを制作しています。"
??.??.???? ,"WWW to Print","インターネットを出力したPDFなどのデータ／デジタルコンテンツを印刷した印刷物を集めた図書館を制作しています。"
