⥾,fffafa
⦂,483d8b
〜,f0ffff
⧘,f0ffff
⌠,d2b48c
…,0000cd
❞,ff8c00
…,008080
∠,808080
…,fffafa
◡,fff000
⌇,fffafa
⁔,b0c4de
▱,808080
❞,b0c4de
⧹,d2b48c
・,808080
◡,ffdab9
*,b0c4de
⎮,808080
∰,ba55d3
°,ff0000
⌠,90ee90
